  1.295E-01  7.158E-14  4.438E-16  2.719E-14  1.234E-34  1.554E-34  1.956E-34  2.463E-34  3.101E-34  3.904E-34  4.914E-34  6.187E-34  7.788E-34  9.804E-34  1.234E-33  1.569E-37  1.976E-37  2.487E-37  3.131E-37  3.942E-37  4.963E-37  6.248E-37  7.865E-37  9.901E-37  1.246E-36  1.569E-36
  1.318E-01  7.124E-14  4.864E-16  2.727E-14  1.803E-34  2.269E-34  2.857E-34  3.597E-34  4.528E-34  5.700E-34  7.176E-34  9.034E-34  1.137E-33  1.432E-33  1.802E-33  2.298E-37  2.893E-37  3.642E-37  4.585E-37  5.772E-37  7.267E-37  9.148E-37  1.152E-36  1.450E-36  1.825E-36  2.297E-36
  1.340E-01  7.093E-14  5.310E-16  2.737E-14  2.608E-34  3.283E-34  4.133E-34  5.203E-34  6.550E-34  8.246E-34  1.038E-33  1.307E-33  1.645E-33  2.071E-33  2.607E-33  3.336E-37  4.200E-37  5.287E-37  6.656E-37  8.379E-37  1.055E-36  1.328E-36  1.672E-36  2.105E-36  2.649E-36  3.335E-36
  1.364E-01  7.064E-14  5.777E-16  2.748E-14  3.736E-34  4.704E-34  5.922E-34  7.455E-34  9.385E-34  1.182E-33  1.487E-33  1.873E-33  2.357E-33  2.968E-33  3.736E-33  4.798E-37  6.041E-37  7.604E-37  9.574E-37  1.205E-36  1.517E-36  1.910E-36  2.405E-36  3.027E-36  3.811E-36  4.797E-36
  1.387E-01  7.037E-14  6.267E-16  2.761E-14  5.305E-34  6.679E-34  8.407E-34  1.058E-33  1.332E-33  1.677E-33  2.112E-33  2.659E-33  3.347E-33  4.213E-33  5.304E-33  6.844E-37  8.616E-37  1.085E-36  1.366E-36  1.719E-36  2.164E-36  2.724E-36  3.430E-36  4.318E-36  5.435E-36  6.842E-36
  1.412E-01  7.013E-14  6.811E-16  2.778E-14  7.442E-34  9.369E-34  1.179E-33  1.485E-33  1.869E-33  2.353E-33  2.962E-33  3.729E-33  4.695E-33  5.910E-33  7.440E-33  9.660E-37  1.216E-36  1.531E-36  1.928E-36  2.426E-36  3.055E-36  3.846E-36  4.841E-36  6.095E-36  7.673E-36  9.658E-36
  1.436E-01  6.985E-14  7.460E-16  2.801E-14  1.019E-33  1.283E-33  1.616E-33  2.034E-33  2.560E-33  3.223E-33  4.058E-33  5.109E-33  6.431E-33  8.096E-33  1.019E-32  1.333E-36  1.678E-36  2.112E-36  2.659E-36  3.347E-36  4.214E-36  5.305E-36  6.678E-36  8.407E-36  1.058E-35  1.332E-35
  1.461E-01  6.951E-14  8.186E-16  2.832E-14  1.356E-33  1.707E-33  2.148E-33  2.705E-33  3.405E-33  4.287E-33  5.397E-33  6.794E-33  8.553E-33  1.077E-32  1.355E-32  1.781E-36  2.242E-36  2.822E-36  3.553E-36  4.473E-36  5.631E-36  7.089E-36  8.924E-36  1.123E-35  1.414E-35  1.780E-35
  1.486E-01  6.915E-14  8.876E-16  2.866E-14  1.763E-33  2.220E-33  2.795E-33  3.519E-33  4.429E-33  5.576E-33  7.020E-33  8.838E-33  1.113E-32  1.401E-32  1.763E-32  2.316E-36  2.916E-36  3.671E-36  4.622E-36  5.818E-36  7.324E-36  9.221E-36  1.161E-35  1.461E-35  1.840E-35  2.316E-35
  1.512E-01  6.884E-14  9.509E-16  2.905E-14  2.260E-33  2.845E-33  3.582E-33  4.510E-33  5.677E-33  7.147E-33  8.998E-33  1.133E-32  1.426E-32  1.795E-32  2.260E-32  2.959E-36  3.725E-36  4.689E-36  5.904E-36  7.431E-36  9.356E-36  1.178E-35  1.483E-35  1.867E-35  2.350E-35  2.958E-35
  1.539E-01  6.859E-14  1.007E-15  2.951E-14  2.868E-33  3.611E-33  4.546E-33  5.723E-33  7.204E-33  9.070E-33  1.142E-32  1.437E-32  1.810E-32  2.278E-32  2.868E-32  3.733E-36  4.700E-36  5.917E-36  7.449E-36  9.377E-36  1.181E-35  1.486E-35  1.871E-35  2.355E-35  2.965E-35  3.733E-35
  1.565E-01  6.841E-14  1.056E-15  3.002E-14  3.622E-33  4.560E-33  5.740E-33  7.227E-33  9.097E-33  1.145E-32  1.442E-32  1.815E-32  2.285E-32  2.877E-32  3.621E-32  4.679E-36  5.891E-36  7.416E-36  9.337E-36  1.175E-35  1.480E-35  1.863E-35  2.345E-35  2.952E-35  3.716E-35  4.678E-35
  1.593E-01  6.827E-14  1.099E-15  3.059E-14  4.559E-33  5.739E-33  7.225E-33  9.096E-33  1.145E-32  1.441E-32  1.815E-32  2.285E-32  2.876E-32  3.621E-32  4.558E-32  5.835E-36  7.346E-36  9.247E-36  1.164E-35  1.466E-35  1.845E-35  2.323E-35  2.924E-35  3.681E-35  4.634E-35  5.833E-35
  1.620E-01  6.817E-14  1.137E-15  3.121E-14  5.718E-33  7.199E-33  9.063E-33  1.141E-32  1.436E-32  1.808E-32  2.276E-32  2.866E-32  3.608E-32  4.542E-32  5.717E-32  7.247E-36  9.123E-36  1.149E-35  1.446E-35  1.820E-35  2.292E-35  2.885E-35  3.632E-35  4.572E-35  5.756E-35  7.245E-35
  1.648E-01  6.809E-14  1.172E-15  3.187E-14  7.167E-33  9.023E-33  1.136E-32  1.430E-32  1.800E-32  2.266E-32  2.853E-32  3.592E-32  4.522E-32  5.692E-32  7.165E-32  8.990E-36  1.132E-35  1.425E-35  1.794E-35  2.258E-35  2.843E-35  3.579E-35  4.505E-35  5.672E-35  7.140E-35  8.988E-35
