#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10678E+04    0.34282E-01    0.00000E+00    0.27104E+01    0.49277E-07    0.32326E-02   -0.12847E-04
     3    0.10029E+04    0.46186E-01    0.00000E+00    0.31328E+01    0.60013E-07    0.32173E-02   -0.14138E-04
     4    0.94274E+03    0.42475E-01    0.00000E+00    0.30100E+01    0.69182E-07    0.31297E-02   -0.12452E-04
     5    0.89773E+03    0.30431E-01    0.00000E+00    0.26210E+01    0.77138E-07    0.30167E-02   -0.91211E-05
     6    0.86645E+03    0.18224E-01    0.00000E+00    0.21550E+01    0.84082E-07    0.28979E-02   -0.52510E-05
     7    0.84589E+03    0.10011E-01    0.00000E+00    0.17210E+01    0.90195E-07    0.27829E-02   -0.17094E-05
     8    0.83287E+03    0.59520E-02    0.00000E+00    0.13706E+01    0.95606E-07    0.26715E-02    0.91611E-06
     9    0.82576E+03    0.43850E-02    0.00000E+00    0.11180E+01    0.10042E-06    0.25622E-02    0.23682E-05
    10    0.82300E+03    0.37355E-02    0.00000E+00    0.96093E+00    0.10471E-06    0.24567E-02    0.27383E-05
    11    0.82313E+03    0.32487E-02    0.00000E+00    0.88595E+00    0.10857E-06    0.23598E-02    0.23459E-05
    12    0.82672E+03    0.29300E-02    0.00000E+00    0.87533E+00    0.11202E-06    0.22724E-02    0.15324E-05
    13    0.83207E+03    0.25535E-02    0.00000E+00    0.90480E+00    0.11510E-06    0.21926E-02    0.54730E-06
    14    0.83823E+03    0.24761E-02    0.00000E+00    0.95072E+00    0.11786E-06    0.21180E-02   -0.38720E-06
    15    0.84555E+03    0.26317E-02    0.00000E+00    0.10057E+01    0.12034E-06    0.20460E-02   -0.10467E-05
    16    0.85453E+03    0.28563E-02    0.00000E+00    0.10670E+01    0.12257E-06    0.19750E-02   -0.12714E-05
    17    0.86514E+03    0.32385E-02    0.00000E+00    0.11304E+01    0.12456E-06    0.19068E-02   -0.11499E-05
    18    0.87650E+03    0.37315E-02    0.00000E+00    0.11937E+01    0.12636E-06    0.18432E-02   -0.83764E-06
    19    0.88941E+03    0.43418E-02    0.00000E+00    0.12569E+01    0.12795E-06    0.17837E-02   -0.52010E-06
    20    0.90217E+03    0.51309E-02    0.00000E+00    0.13182E+01    0.12937E-06    0.17274E-02   -0.33939E-06
    21    0.91517E+03    0.60612E-02    0.00000E+00    0.13819E+01    0.13062E-06    0.16738E-02   -0.24258E-06
    22    0.92870E+03    0.71547E-02    0.00000E+00    0.14506E+01    0.13173E-06    0.16227E-02   -0.15551E-06
    23    0.94258E+03    0.84114E-02    0.00000E+00    0.15212E+01    0.13271E-06    0.15740E-02   -0.10844E-06
    24    0.95688E+03    0.97994E-02    0.00000E+00    0.15894E+01    0.13356E-06    0.15280E-02   -0.14849E-06
    25    0.97154E+03    0.11351E-01    0.00000E+00    0.16537E+01    0.13430E-06    0.14844E-02   -0.28783E-06
    26    0.98639E+03    0.13069E-01    0.00000E+00    0.17141E+01    0.13493E-06    0.14430E-02   -0.50631E-06
    27    0.10017E+04    0.14939E-01    0.00000E+00    0.17682E+01    0.13547E-06    0.14033E-02   -0.68939E-06
    28    0.10172E+04    0.16971E-01    0.00000E+00    0.18146E+01    0.13592E-06    0.13650E-02   -0.73098E-06
    29    0.10331E+04    0.19183E-01    0.00000E+00    0.18532E+01    0.13628E-06    0.13284E-02   -0.64998E-06
    30    0.10493E+04    0.21597E-01    0.00000E+00    0.18833E+01    0.13656E-06    0.12936E-02   -0.50466E-06
    31    0.10655E+04    0.24221E-01    0.00000E+00    0.19059E+01    0.13677E-06    0.12603E-02   -0.38723E-06
    32    0.10821E+04    0.27048E-01    0.00000E+00    0.19218E+01    0.13690E-06    0.12283E-02   -0.37186E-06
    33    0.10990E+04    0.30077E-01    0.00000E+00    0.19291E+01    0.13698E-06    0.11974E-02   -0.42812E-06
    34    0.11161E+04    0.33324E-01    0.00000E+00    0.19265E+01    0.13701E-06    0.11677E-02   -0.49925E-06
    35    0.11333E+04    0.36805E-01    0.00000E+00    0.19162E+01    0.13697E-06    0.11389E-02   -0.52659E-06
    36    0.11507E+04    0.40539E-01    0.00000E+00    0.18995E+01    0.13689E-06    0.11112E-02   -0.47257E-06
    37    0.11681E+04    0.44518E-01    0.00000E+00    0.18733E+01    0.13677E-06    0.10848E-02   -0.38519E-06
    38    0.11859E+04    0.48736E-01    0.00000E+00    0.18363E+01    0.13660E-06    0.10601E-02   -0.32014E-06
    39    0.12041E+04    0.53195E-01    0.00000E+00    0.17884E+01    0.13639E-06    0.10367E-02   -0.27930E-06
    40    0.12225E+04    0.57905E-01    0.00000E+00    0.17298E+01    0.13614E-06    0.10141E-02   -0.25117E-06
    41    0.12410E+04    0.62878E-01    0.00000E+00    0.16601E+01    0.13586E-06    0.99197E-03   -0.22652E-06
    42    0.12596E+04    0.68127E-01    0.00000E+00    0.15787E+01    0.13554E-06    0.97034E-03   -0.20503E-06
    43    0.12783E+04    0.73659E-01    0.00000E+00    0.14847E+01    0.13519E-06    0.94924E-03   -0.18858E-06
    44    0.12970E+04    0.79470E-01    0.00000E+00    0.13781E+01    0.13481E-06    0.92876E-03   -0.17907E-06
    45    0.13161E+04    0.85565E-01    0.00000E+00    0.12590E+01    0.13440E-06    0.90896E-03   -0.17839E-06
    46    0.13355E+04    0.91948E-01    0.00000E+00    0.11257E+01    0.13398E-06    0.88991E-03   -0.18875E-06
    47    0.13550E+04    0.98616E-01    0.00000E+00    0.97914E+00    0.13352E-06    0.87153E-03   -0.21367E-06
    48    0.13745E+04    0.10557E+00    0.00000E+00    0.82340E+00    0.13305E-06    0.85376E-03   -0.25701E-06
    49    0.13942E+04    0.11279E+00    0.00000E+00    0.66208E+00    0.13256E-06    0.83651E-03   -0.32261E-06
    50    0.14143E+04    0.12024E+00    0.00000E+00    0.49197E+00    0.13205E-06    0.81970E-03   -0.41431E-06
    51    0.14346E+04    0.12790E+00    0.00000E+00    0.30842E+00    0.13152E-06    0.80328E-03   -0.53156E-06
    52    0.14553E+04    0.13585E+00    0.00000E+00    0.10672E+00    0.13098E-06    0.78729E-03   -0.65636E-06
    53    0.14759E+04    0.14424E+00    0.00000E+00   -0.11603E+00    0.13042E-06    0.77181E-03   -0.76638E-06
    54    0.14965E+04    0.15306E+00    0.00000E+00   -0.35478E+00    0.12985E-06    0.75690E-03   -0.83935E-06
    55    0.15173E+04    0.16231E+00    0.00000E+00   -0.60432E+00    0.12927E-06    0.74263E-03   -0.85301E-06
    56    0.15383E+04    0.17183E+00    0.00000E+00   -0.86575E+00    0.12868E-06    0.72905E-03   -0.79388E-06
    57    0.15597E+04    0.18151E+00    0.00000E+00   -0.11390E+01    0.12807E-06    0.71608E-03   -0.68323E-06
    58    0.15814E+04    0.19137E+00    0.00000E+00   -0.14248E+01    0.12746E-06    0.70362E-03   -0.55102E-06
    59    0.16032E+04    0.20143E+00    0.00000E+00   -0.17242E+01    0.12684E-06    0.69156E-03   -0.42713E-06
    60    0.16252E+04    0.21174E+00    0.00000E+00   -0.20364E+01    0.12621E-06    0.67980E-03   -0.34140E-06
    61    0.16477E+04    0.22240E+00    0.00000E+00   -0.23608E+01    0.12556E-06    0.66825E-03   -0.31614E-06
    62    0.16701E+04    0.23339E+00    0.00000E+00   -0.26983E+01    0.12492E-06    0.65690E-03   -0.34373E-06
    63    0.16925E+04    0.24467E+00    0.00000E+00   -0.30500E+01    0.12426E-06    0.64572E-03   -0.40911E-06
    64    0.17154E+04    0.25626E+00    0.00000E+00   -0.34170E+01    0.12360E-06    0.63471E-03   -0.49722E-06
    65    0.17383E+04    0.26814E+00    0.00000E+00   -0.38001E+01    0.12294E-06    0.62386E-03   -0.59307E-06
    66    0.17615E+04    0.28024E+00    0.00000E+00   -0.41975E+01    0.12227E-06    0.61317E-03   -0.68330E-06
    67    0.17849E+04    0.29255E+00    0.00000E+00   -0.46064E+01    0.12160E-06    0.60269E-03   -0.76126E-06
    68    0.18088E+04    0.30513E+00    0.00000E+00   -0.50254E+01    0.12093E-06    0.59248E-03   -0.82197E-06
    69    0.18328E+04    0.31792E+00    0.00000E+00   -0.54527E+01    0.12025E-06    0.58261E-03   -0.86044E-06
    70    0.18571E+04    0.33097E+00    0.00000E+00   -0.58901E+01    0.11958E-06    0.57313E-03   -0.87169E-06
    71    0.18816E+04    0.34426E+00    0.00000E+00   -0.63402E+01    0.11890E-06    0.56409E-03   -0.85320E-06
    72    0.19062E+04    0.35777E+00    0.00000E+00   -0.68040E+01    0.11822E-06    0.55545E-03   -0.81231E-06
    73    0.19310E+04    0.37145E+00    0.00000E+00   -0.72821E+01    0.11754E-06    0.54715E-03   -0.75877E-06
    74    0.19560E+04    0.38531E+00    0.00000E+00   -0.77733E+01    0.11686E-06    0.53914E-03   -0.70235E-06
    75    0.19813E+04    0.39934E+00    0.00000E+00   -0.82759E+01    0.11618E-06    0.53135E-03   -0.65279E-06
    76    0.20069E+04    0.41355E+00    0.00000E+00   -0.87892E+01    0.11549E-06    0.52374E-03   -0.61825E-06
    77    0.20329E+04    0.42793E+00    0.00000E+00   -0.93129E+01    0.11481E-06    0.51629E-03   -0.60062E-06
    78    0.20592E+04    0.44250E+00    0.00000E+00   -0.98485E+01    0.11413E-06    0.50896E-03   -0.60022E-06
    79    0.20857E+04    0.45722E+00    0.00000E+00   -0.10392E+02    0.11344E-06    0.50174E-03   -0.61735E-06
    80    0.21125E+04    0.47207E+00    0.00000E+00   -0.10945E+02    0.11276E-06    0.49461E-03   -0.65232E-06
    81    0.21395E+04    0.48702E+00    0.00000E+00   -0.11509E+02    0.11208E-06    0.48755E-03   -0.70428E-06
    82    0.21667E+04    0.50208E+00    0.00000E+00   -0.12081E+02    0.11139E-06    0.48058E-03   -0.76768E-06
    83    0.21941E+04    0.51722E+00    0.00000E+00   -0.12663E+02    0.11072E-06    0.47372E-03   -0.83578E-06
    84    0.22219E+04    0.53245E+00    0.00000E+00   -0.13251E+02    0.11004E-06    0.46699E-03   -0.90187E-06
    85    0.22497E+04    0.54773E+00    0.00000E+00   -0.13848E+02    0.10936E-06    0.46042E-03   -0.95925E-06
    86    0.22777E+04    0.56308E+00    0.00000E+00   -0.14452E+02    0.10869E-06    0.45402E-03   -0.10027E-05
    87    0.23062E+04    0.57847E+00    0.00000E+00   -0.15062E+02    0.10802E-06    0.44780E-03   -0.10331E-05
    88    0.23347E+04    0.59391E+00    0.00000E+00   -0.15679E+02    0.10735E-06    0.44173E-03   -0.10529E-05
    89    0.23635E+04    0.60938E+00    0.00000E+00   -0.16303E+02    0.10668E-06    0.43582E-03   -0.10643E-05
    90    0.23925E+04    0.62485E+00    0.00000E+00   -0.16932E+02    0.10602E-06    0.43005E-03   -0.10697E-05
    91    0.24217E+04    0.64031E+00    0.00000E+00   -0.17566E+02    0.10536E-06    0.42441E-03   -0.10713E-05
    92    0.24512E+04    0.65575E+00    0.00000E+00   -0.18205E+02    0.10470E-06    0.41891E-03   -0.10695E-05
    93    0.24809E+04    0.67115E+00    0.00000E+00   -0.18849E+02    0.10405E-06    0.41353E-03   -0.10648E-05
    94    0.25108E+04    0.68647E+00    0.00000E+00   -0.19495E+02    0.10340E-06    0.40827E-03   -0.10574E-05
    95    0.25409E+04    0.70173E+00    0.00000E+00   -0.20146E+02    0.10275E-06    0.40313E-03   -0.10477E-05
    96    0.25710E+04    0.71690E+00    0.00000E+00   -0.20800E+02    0.10211E-06    0.39811E-03   -0.10360E-05
    97    0.26016E+04    0.73197E+00    0.00000E+00   -0.21456E+02    0.10147E-06    0.39320E-03   -0.10226E-05
    98    0.26324E+04    0.74693E+00    0.00000E+00   -0.22113E+02    0.10083E-06    0.38839E-03   -0.10078E-05
    99    0.26633E+04    0.76174E+00    0.00000E+00   -0.22773E+02    0.10020E-06    0.38369E-03   -0.99192E-06
   100    0.26944E+04    0.77641E+00    0.00000E+00   -0.23432E+02    0.99566E-07    0.37909E-03   -0.97528E-06
   101    0.27257E+04    0.79098E+00    0.00000E+00   -0.24092E+02    0.98939E-07    0.37458E-03   -0.95820E-06
   102    0.27576E+04    0.80532E+00    0.00000E+00   -0.24753E+02    0.98316E-07    0.37016E-03   -0.94099E-06
   103    0.27894E+04    0.81950E+00    0.00000E+00   -0.25413E+02    0.97696E-07    0.36583E-03   -0.92396E-06
   104    0.28213E+04    0.83352E+00    0.00000E+00   -0.26071E+02    0.97080E-07    0.36159E-03   -0.90743E-06
   105    0.28535E+04    0.84730E+00    0.00000E+00   -0.26728E+02    0.96468E-07    0.35742E-03   -0.89170E-06
   106    0.28859E+04    0.86092E+00    0.00000E+00   -0.27384E+02    0.95859E-07    0.35334E-03   -0.87710E-06
   107    0.29182E+04    0.87422E+00    0.00000E+00   -0.28036E+02    0.95255E-07    0.34932E-03   -0.86393E-06
   108    0.29508E+04    0.88729E+00    0.00000E+00   -0.28685E+02    0.94654E-07    0.34537E-03   -0.85250E-06
   109    0.29837E+04    0.90004E+00    0.00000E+00   -0.29331E+02    0.94058E-07    0.34149E-03   -0.84314E-06
   110    0.30166E+04    0.91248E+00    0.00000E+00   -0.29971E+02    0.93465E-07    0.33767E-03   -0.83615E-06
   111    0.30497E+04    0.92469E+00    0.00000E+00   -0.30607E+02    0.92877E-07    0.33391E-03   -0.83175E-06
   112    0.30829E+04    0.93658E+00    0.00000E+00   -0.31239E+02    0.92293E-07    0.33021E-03   -0.82986E-06
   113    0.31163E+04    0.94816E+00    0.00000E+00   -0.31864E+02    0.91713E-07    0.32656E-03   -0.83029E-06
   114    0.31498E+04    0.95935E+00    0.00000E+00   -0.32483E+02    0.91137E-07    0.32297E-03   -0.83285E-06
   115    0.31836E+04    0.97030E+00    0.00000E+00   -0.33094E+02    0.90565E-07    0.31943E-03   -0.83737E-06
   116    0.32173E+04    0.98079E+00    0.00000E+00   -0.33697E+02    0.89997E-07    0.31595E-03   -0.84366E-06
   117    0.32514E+04    0.99090E+00    0.00000E+00   -0.34292E+02    0.89434E-07    0.31252E-03   -0.85154E-06
   118    0.32856E+04    0.10008E+01    0.00000E+00   -0.34878E+02    0.88874E-07    0.30914E-03   -0.86083E-06
   119    0.33198E+04    0.10102E+01    0.00000E+00   -0.35455E+02    0.88319E-07    0.30582E-03   -0.87134E-06
   120    0.33541E+04    0.10192E+01    0.00000E+00   -0.36021E+02    0.87767E-07    0.30255E-03   -0.88290E-06
   121    0.33884E+04    0.10279E+01    0.00000E+00   -0.36576E+02    0.87220E-07    0.29933E-03   -0.89532E-06
   122    0.34228E+04    0.10360E+01    0.00000E+00   -0.37121E+02    0.86677E-07    0.29616E-03   -0.90842E-06
   123    0.34573E+04    0.10437E+01    0.00000E+00   -0.37654E+02    0.86138E-07    0.29304E-03   -0.92202E-06
   124    0.34918E+04    0.10511E+01    0.00000E+00   -0.38173E+02    0.85603E-07    0.28997E-03   -0.93593E-06
   125    0.35263E+04    0.10579E+01    0.00000E+00   -0.38680E+02    0.85072E-07    0.28695E-03   -0.94999E-06
   126    0.35609E+04    0.10644E+01    0.00000E+00   -0.39174E+02    0.84546E-07    0.28398E-03   -0.96400E-06
   127    0.35954E+04    0.10703E+01    0.00000E+00   -0.39654E+02    0.84023E-07    0.28106E-03   -0.97778E-06
   128    0.36300E+04    0.10758E+01    0.00000E+00   -0.40120E+02    0.83504E-07    0.27819E-03   -0.99116E-06
   129    0.36646E+04    0.10808E+01    0.00000E+00   -0.40570E+02    0.82990E-07    0.27536E-03   -0.10039E-05
   130    0.36991E+04    0.10853E+01    0.00000E+00   -0.41004E+02    0.82480E-07    0.27258E-03   -0.10160E-05
   131    0.37337E+04    0.10894E+01    0.00000E+00   -0.41424E+02    0.81973E-07    0.26984E-03   -0.10271E-05
   132    0.37683E+04    0.10929E+01    0.00000E+00   -0.41826E+02    0.81471E-07    0.26715E-03   -0.10372E-05
   133    0.38028E+04    0.10960E+01    0.00000E+00   -0.42213E+02    0.80973E-07    0.26450E-03   -0.10464E-05
   134    0.38374E+04    0.10986E+01    0.00000E+00   -0.42580E+02    0.80479E-07    0.26189E-03   -0.10547E-05
   135    0.38718E+04    0.11007E+01    0.00000E+00   -0.42930E+02    0.79989E-07    0.25933E-03   -0.10620E-05
   136    0.39062E+04    0.11023E+01    0.00000E+00   -0.43260E+02    0.79502E-07    0.25681E-03   -0.10685E-05
   137    0.39405E+04    0.11034E+01    0.00000E+00   -0.43572E+02    0.79020E-07    0.25432E-03   -0.10740E-05
   138    0.39747E+04    0.11039E+01    0.00000E+00   -0.43863E+02    0.78542E-07    0.25187E-03   -0.10785E-05
   139    0.40087E+04    0.11041E+01    0.00000E+00   -0.44135E+02    0.78067E-07    0.24946E-03   -0.10822E-05
   140    0.40427E+04    0.11037E+01    0.00000E+00   -0.44387E+02    0.77597E-07    0.24709E-03   -0.10850E-05
   141    0.40765E+04    0.11027E+01    0.00000E+00   -0.44617E+02    0.77130E-07    0.24475E-03   -0.10869E-05
   142    0.41103E+04    0.11013E+01    0.00000E+00   -0.44827E+02    0.76667E-07    0.24245E-03   -0.10878E-05
   143    0.41441E+04    0.10995E+01    0.00000E+00   -0.45015E+02    0.76207E-07    0.24017E-03   -0.10879E-05
   144    0.41775E+04    0.10971E+01    0.00000E+00   -0.45181E+02    0.75752E-07    0.23793E-03   -0.10871E-05
   145    0.42109E+04    0.10943E+01    0.00000E+00   -0.45325E+02    0.75300E-07    0.23572E-03   -0.10854E-05
   146    0.42442E+04    0.10910E+01    0.00000E+00   -0.45447E+02    0.74852E-07    0.23354E-03   -0.10828E-05
   147    0.42772E+04    0.10873E+01    0.00000E+00   -0.45545E+02    0.74407E-07    0.23139E-03   -0.10794E-05
   148    0.43101E+04    0.10830E+01    0.00000E+00   -0.45621E+02    0.73966E-07    0.22926E-03   -0.10751E-05
   149    0.43429E+04    0.10783E+01    0.00000E+00   -0.45673E+02    0.73529E-07    0.22717E-03   -0.10700E-05
   150    0.43753E+04    0.10732E+01    0.00000E+00   -0.45699E+02    0.73095E-07    0.22509E-03   -0.10639E-05
   151    0.44076E+04    0.10677E+01    0.00000E+00   -0.45701E+02    0.72665E-07    0.22304E-03   -0.10571E-05
   152    0.44396E+04    0.10617E+01    0.00000E+00   -0.45680E+02    0.72238E-07    0.22102E-03   -0.10494E-05
   153    0.44715E+04    0.10553E+01    0.00000E+00   -0.45632E+02    0.71815E-07    0.21902E-03   -0.10409E-05
   154    0.45031E+04    0.10485E+01    0.00000E+00   -0.45559E+02    0.71395E-07    0.21704E-03   -0.10318E-05
   155    0.45345E+04    0.10414E+01    0.00000E+00   -0.45461E+02    0.70979E-07    0.21508E-03   -0.10219E-05
   156    0.45655E+04    0.10339E+01    0.00000E+00   -0.45338E+02    0.70566E-07    0.21315E-03   -0.10113E-05
   157    0.45964E+04    0.10260E+01    0.00000E+00   -0.45188E+02    0.70157E-07    0.21124E-03   -0.10001E-05
   158    0.46270E+04    0.10178E+01    0.00000E+00   -0.45012E+02    0.69750E-07    0.20936E-03   -0.98836E-06
   159    0.46573E+04    0.10092E+01    0.00000E+00   -0.44810E+02    0.69348E-07    0.20749E-03   -0.97605E-06
   160    0.46874E+04    0.10004E+01    0.00000E+00   -0.44581E+02    0.68948E-07    0.20565E-03   -0.96322E-06
   161    0.47172E+04    0.99127E+00    0.00000E+00   -0.44326E+02    0.68552E-07    0.20383E-03   -0.94992E-06
   162    0.47467E+04    0.98182E+00    0.00000E+00   -0.44045E+02    0.68160E-07    0.20203E-03   -0.93618E-06
   163    0.47760E+04    0.97209E+00    0.00000E+00   -0.43736E+02    0.67770E-07    0.20025E-03   -0.92204E-06
   164    0.48049E+04    0.96216E+00    0.00000E+00   -0.43401E+02    0.67384E-07    0.19850E-03   -0.90755E-06
   165    0.48336E+04    0.95195E+00    0.00000E+00   -0.43038E+02    0.67001E-07    0.19676E-03   -0.89272E-06
   166    0.48619E+04    0.94160E+00    0.00000E+00   -0.42648E+02    0.66621E-07    0.19505E-03   -0.87762E-06
   167    0.48901E+04    0.93091E+00    0.00000E+00   -0.42232E+02    0.66244E-07    0.19335E-03   -0.86226E-06
   168    0.49177E+04    0.92024E+00    0.00000E+00   -0.41788E+02    0.65870E-07    0.19168E-03   -0.84669E-06
   169    0.49451E+04    0.90929E+00    0.00000E+00   -0.41316E+02    0.65500E-07    0.19002E-03   -0.83095E-06
   170    0.49721E+04    0.89830E+00    0.00000E+00   -0.40817E+02    0.65133E-07    0.18839E-03   -0.81507E-06
   171    0.49986E+04    0.88725E+00    0.00000E+00   -0.40289E+02    0.64768E-07    0.18678E-03   -0.79910E-06
   172    0.50247E+04    0.87609E+00    0.00000E+00   -0.39733E+02    0.64407E-07    0.18518E-03   -0.78307E-06
   173    0.50504E+04    0.86480E+00    0.00000E+00   -0.39150E+02    0.64049E-07    0.18360E-03   -0.76701E-06
   174    0.50757E+04    0.85369E+00    0.00000E+00   -0.38539E+02    0.63694E-07    0.18205E-03   -0.75097E-06
   175    0.51006E+04    0.84246E+00    0.00000E+00   -0.37900E+02    0.63342E-07    0.18051E-03   -0.73498E-06
   176    0.51250E+04    0.83134E+00    0.00000E+00   -0.37233E+02    0.62993E-07    0.17899E-03   -0.71907E-06
   177    0.51489E+04    0.82026E+00    0.00000E+00   -0.36539E+02    0.62646E-07    0.17749E-03   -0.70325E-06
   178    0.51724E+04    0.80943E+00    0.00000E+00   -0.35816E+02    0.62303E-07    0.17600E-03   -0.68751E-06
   179    0.51954E+04    0.79857E+00    0.00000E+00   -0.35066E+02    0.61962E-07    0.17453E-03   -0.67186E-06
   180    0.52181E+04    0.78789E+00    0.00000E+00   -0.34289E+02    0.61625E-07    0.17308E-03   -0.65628E-06
   181    0.52402E+04    0.77740E+00    0.00000E+00   -0.33485E+02    0.61290E-07    0.17165E-03   -0.64077E-06
   182    0.52619E+04    0.76718E+00    0.00000E+00   -0.32653E+02    0.60958E-07    0.17023E-03   -0.62534E-06
   183    0.52830E+04    0.75716E+00    0.00000E+00   -0.31794E+02    0.60629E-07    0.16883E-03   -0.60998E-06
   184    0.53037E+04    0.74740E+00    0.00000E+00   -0.30908E+02    0.60302E-07    0.16744E-03   -0.59468E-06
   185    0.53239E+04    0.73807E+00    0.00000E+00   -0.29998E+02    0.59979E-07    0.16607E-03   -0.57944E-06
   186    0.53432E+04    0.72901E+00    0.00000E+00   -0.29059E+02    0.59657E-07    0.16471E-03   -0.56426E-06
   187    0.53624E+04    0.72038E+00    0.00000E+00   -0.28093E+02    0.59339E-07    0.16337E-03   -0.54914E-06
   188    0.53811E+04    0.71217E+00    0.00000E+00   -0.27103E+02    0.59023E-07    0.16204E-03   -0.53408E-06
   189    0.53991E+04    0.70440E+00    0.00000E+00   -0.26087E+02    0.58710E-07    0.16072E-03   -0.51906E-06
   190    0.54170E+04    0.69714E+00    0.00000E+00   -0.25046E+02    0.58399E-07    0.15942E-03   -0.50409E-06
   191    0.54339E+04    0.69040E+00    0.00000E+00   -0.23978E+02    0.58091E-07    0.15813E-03   -0.48916E-06
   192    0.54504E+04    0.68422E+00    0.00000E+00   -0.22886E+02    0.57786E-07    0.15685E-03   -0.47428E-06
   193    0.54663E+04    0.67864E+00    0.00000E+00   -0.21770E+02    0.57482E-07    0.15558E-03   -0.45943E-06
   194    0.54819E+04    0.67369E+00    0.00000E+00   -0.20629E+02    0.57182E-07    0.15433E-03   -0.44461E-06
   195    0.54968E+04    0.66941E+00    0.00000E+00   -0.19464E+02    0.56883E-07    0.15308E-03   -0.42983E-06
   196    0.55111E+04    0.66584E+00    0.00000E+00   -0.18276E+02    0.56588E-07    0.15185E-03   -0.41508E-06
   197    0.55249E+04    0.66303E+00    0.00000E+00   -0.17065E+02    0.56294E-07    0.15062E-03   -0.40036E-06
   198    0.55381E+04    0.66100E+00    0.00000E+00   -0.15831E+02    0.56003E-07    0.14941E-03   -0.38565E-06
   199    0.55509E+04    0.65978E+00    0.00000E+00   -0.14575E+02    0.55714E-07    0.14820E-03   -0.37097E-06
   200    0.55631E+04    0.65942E+00    0.00000E+00   -0.13297E+02    0.55428E-07    0.14701E-03   -0.35630E-06
   201    0.55747E+04    0.65996E+00    0.00000E+00   -0.11997E+02    0.55143E-07    0.14582E-03   -0.34165E-06
   202    0.55857E+04    0.66143E+00    0.00000E+00   -0.10677E+02    0.54861E-07    0.14464E-03   -0.32701E-06
   203    0.55961E+04    0.66388E+00    0.00000E+00   -0.93344E+01    0.54581E-07    0.14347E-03   -0.31238E-06
   204    0.56059E+04    0.66732E+00    0.00000E+00   -0.79738E+01    0.54304E-07    0.14230E-03   -0.29778E-06
   205    0.56151E+04    0.67181E+00    0.00000E+00   -0.65926E+01    0.54028E-07    0.14115E-03   -0.28319E-06
   206    0.56236E+04    0.67739E+00    0.00000E+00   -0.51920E+01    0.53755E-07    0.14000E-03   -0.26861E-06
   207    0.56315E+04    0.68407E+00    0.00000E+00   -0.37725E+01    0.53484E-07    0.13887E-03   -0.25405E-06
   208    0.56388E+04    0.69191E+00    0.00000E+00   -0.23348E+01    0.53215E-07    0.13774E-03   -0.23952E-06
   209    0.56454E+04    0.70092E+00    0.00000E+00   -0.87917E+00    0.52948E-07    0.13662E-03   -0.22500E-06
   210    0.56513E+04    0.71117E+00    0.00000E+00    0.59344E+00    0.52683E-07    0.13550E-03   -0.21050E-06
   211    0.56567E+04    0.72268E+00    0.00000E+00    0.20829E+01    0.52421E-07    0.13440E-03   -0.19602E-06
   212    0.56613E+04    0.73547E+00    0.00000E+00    0.35883E+01    0.52160E-07    0.13330E-03   -0.18156E-06
   213    0.56654E+04    0.74961E+00    0.00000E+00    0.51096E+01    0.51901E-07    0.13221E-03   -0.16713E-06
   214    0.56688E+04    0.76507E+00    0.00000E+00    0.66456E+01    0.51645E-07    0.13113E-03   -0.15272E-06
   215    0.56716E+04    0.78205E+00    0.00000E+00    0.81954E+01    0.51390E-07    0.13006E-03   -0.13833E-06
   216    0.56737E+04    0.80036E+00    0.00000E+00    0.97597E+01    0.51137E-07    0.12899E-03   -0.12397E-06
   217    0.56752E+04    0.82017E+00    0.00000E+00    0.11336E+02    0.50887E-07    0.12794E-03   -0.10963E-06
   218    0.56761E+04    0.84147E+00    0.00000E+00    0.12925E+02    0.50638E-07    0.12689E-03   -0.95314E-07
   219    0.56764E+04    0.86426E+00    0.00000E+00    0.14528E+02    0.50391E-07    0.12585E-03   -0.81028E-07
   220    0.56760E+04    0.88868E+00    0.00000E+00    0.16140E+02    0.50146E-07    0.12481E-03   -0.66768E-07
   221    0.56751E+04    0.91468E+00    0.00000E+00    0.17762E+02    0.49903E-07    0.12379E-03   -0.52536E-07
   222    0.56735E+04    0.94238E+00    0.00000E+00    0.19395E+02    0.49662E-07    0.12277E-03   -0.38332E-07
   223    0.56712E+04    0.97173E+00    0.00000E+00    0.21037E+02    0.49423E-07    0.12176E-03   -0.24158E-07
   224    0.56684E+04    0.10027E+01    0.00000E+00    0.22687E+02    0.49185E-07    0.12075E-03   -0.10014E-07
   225    0.56649E+04    0.10355E+01    0.00000E+00    0.24346E+02    0.48949E-07    0.11976E-03    0.40995E-08
   226    0.56608E+04    0.10700E+01    0.00000E+00    0.26010E+02    0.48716E-07    0.11877E-03    0.18182E-07
   227    0.56561E+04    0.11064E+01    0.00000E+00    0.27682E+02    0.48484E-07    0.11779E-03    0.32232E-07
   228    0.56508E+04    0.11445E+01    0.00000E+00    0.29360E+02    0.48253E-07    0.11681E-03    0.46249E-07
   229    0.56449E+04    0.11845E+01    0.00000E+00    0.31042E+02    0.48025E-07    0.11585E-03    0.60233E-07
   230    0.56383E+04    0.12264E+01    0.00000E+00    0.32728E+02    0.47798E-07    0.11489E-03    0.74183E-07
   231    0.56310E+04    0.12702E+01    0.00000E+00    0.34419E+02    0.47573E-07    0.11394E-03    0.88097E-07
